station_id,pair_id,timestamp_utc,timestamp_local,latitude,longitude,units,value,qa_flag,expected_count,observed_count,percent_complete
oaq-1001,corridor_a,2024-01-01T18:00:00Z,2024-01-01 12:00:00,41.8780,-87.6301,ug/m3,10.8,none,24,24,100
oaq-1001,corridor_a,2024-01-02T18:00:00Z,2024-01-02 12:00:00,41.8780,-87.6301,ug/m3,12.5,none,24,23,95.8
oaq-1001,corridor_a,2024-01-03T18:00:00Z,2024-01-03 12:00:00,41.8780,-87.6301,ug/m3,11.7,none,24,24,100
oaq-1002,corridor_b,2024-01-01T18:00:00Z,2024-01-01 12:00:00,41.7512,-88.1530,ug/m3,10.0,none,24,24,100
oaq-1002,corridor_b,2024-01-02T18:00:00Z,2024-01-02 12:00:00,41.7512,-88.1530,ug/m3,9.3,none,24,22,91.7
oaq-1002,corridor_b,2024-01-03T18:00:00Z,2024-01-03 12:00:00,41.7512,-88.1530,ug/m3,10.4,calibration,24,21,87.5
oaq-1003,corridor_c,2024-01-01T18:00:00Z,2024-01-01 12:00:00,41.9290,-88.7500,ug/m3,8.1,none,24,24,100
oaq-1003,corridor_c,2024-01-02T18:00:00Z,2024-01-02 12:00:00,41.9290,-88.7500,ug/m3,8.5,none,24,24,100
oaq-1003,corridor_c,2024-01-03T18:00:00Z,2024-01-03 12:00:00,41.9290,-88.7500,ug/m3,8.8,none,24,23,95.8

